time, infected, susceptable
0, 0.040, 0.960
1, 0.153, 0.847
2, 0.488, 0.512
3, 0.524, 0.476
4, 0.490, 0.510
5, 0.514, 0.486
6, 0.499, 0.501
7, 0.507, 0.493
8, 0.515, 0.485
9, 0.482, 0.518
10, 0.510, 0.490
11, 0.504, 0.496
12, 0.505, 0.495
13, 0.510, 0.490
14, 0.490, 0.510
15, 0.515, 0.485
16, 0.496, 0.504
17, 0.529, 0.471
18, 0.485, 0.515
19, 0.503, 0.497
20, 0.503, 0.497
21, 0.489, 0.511
22, 0.515, 0.485
23, 0.504, 0.496
24, 0.506, 0.494
25, 0.507, 0.493
26, 0.486, 0.514
27, 0.517, 0.483
28, 0.499, 0.501
29, 0.504, 0.496
30, 0.508, 0.492
31, 0.509, 0.491
32, 0.508, 0.492
33, 0.508, 0.492
34, 0.491, 0.509
35, 0.503, 0.497
36, 0.503, 0.497
37, 0.491, 0.509
38, 0.499, 0.501
39, 0.521, 0.479
40, 0.483, 0.517
41, 0.506, 0.494
42, 0.493, 0.507
43, 0.488, 0.512
44, 0.510, 0.490
45, 0.489, 0.511
46, 0.516, 0.484
47, 0.511, 0.489
48, 0.493, 0.507
49, 0.482, 0.518
50, 0.523, 0.477
51, 0.493, 0.507
52, 0.506, 0.494
53, 0.496, 0.504
54, 0.516, 0.484
55, 0.490, 0.510
56, 0.499, 0.501
57, 0.520, 0.480
58, 0.501, 0.499
59, 0.500, 0.500
60, 0.490, 0.510
61, 0.519, 0.481
62, 0.491, 0.509
63, 0.521, 0.479
64, 0.492, 0.508
65, 0.513, 0.487
66, 0.500, 0.500
67, 0.512, 0.488
68, 0.480, 0.520
69, 0.518, 0.482
70, 0.490, 0.510
71, 0.522, 0.478
72, 0.494, 0.506
73, 0.495, 0.505
74, 0.503, 0.497
75, 0.486, 0.514
76, 0.522, 0.478
77, 0.484, 0.516
78, 0.521, 0.479
79, 0.496, 0.504
80, 0.508, 0.492
81, 0.491, 0.509
82, 0.504, 0.496
83, 0.497, 0.503
84, 0.508, 0.492
85, 0.504, 0.496
86, 0.496, 0.504
87, 0.504, 0.496
88, 0.501, 0.499
89, 0.503, 0.497
90, 0.509, 0.491
91, 0.499, 0.501
92, 0.496, 0.504
93, 0.494, 0.506
94, 0.511, 0.489
95, 0.503, 0.497
96, 0.493, 0.507
97, 0.493, 0.507
98, 0.503, 0.497
99, 0.508, 0.492
