time, infected, susceptable
0, 0.040, 0.960
1, 0.397, 0.603
2, 0.906, 0.094
3, 0.793, 0.207
4, 0.837, 0.163
5, 0.832, 0.168
6, 0.827, 0.173
7, 0.814, 0.186
8, 0.826, 0.174
9, 0.842, 0.158
10, 0.858, 0.142
11, 0.831, 0.169
12, 0.827, 0.173
13, 0.824, 0.176
14, 0.838, 0.162
15, 0.832, 0.168
16, 0.833, 0.167
17, 0.842, 0.158
18, 0.824, 0.176
19, 0.848, 0.152
20, 0.819, 0.181
21, 0.834, 0.166
22, 0.837, 0.163
23, 0.808, 0.192
24, 0.848, 0.152
25, 0.842, 0.158
26, 0.853, 0.147
27, 0.846, 0.154
28, 0.824, 0.176
29, 0.840, 0.160
30, 0.843, 0.157
31, 0.836, 0.164
32, 0.830, 0.170
33, 0.846, 0.154
34, 0.822, 0.178
35, 0.838, 0.162
36, 0.838, 0.162
37, 0.839, 0.161
38, 0.840, 0.160
39, 0.830, 0.170
40, 0.851, 0.149
41, 0.829, 0.171
42, 0.818, 0.182
43, 0.831, 0.169
44, 0.830, 0.170
45, 0.828, 0.172
46, 0.823, 0.177
47, 0.836, 0.164
48, 0.836, 0.164
49, 0.851, 0.149
50, 0.825, 0.175
51, 0.832, 0.168
52, 0.835, 0.165
53, 0.839, 0.161
54, 0.828, 0.172
55, 0.825, 0.175
56, 0.827, 0.173
57, 0.834, 0.166
58, 0.844, 0.156
59, 0.851, 0.149
60, 0.829, 0.171
61, 0.811, 0.189
62, 0.842, 0.158
63, 0.824, 0.176
64, 0.832, 0.168
65, 0.851, 0.149
66, 0.845, 0.155
67, 0.849, 0.151
68, 0.817, 0.183
69, 0.825, 0.175
70, 0.845, 0.155
71, 0.841, 0.159
72, 0.833, 0.167
73, 0.823, 0.177
74, 0.843, 0.157
75, 0.844, 0.156
76, 0.857, 0.143
77, 0.846, 0.154
78, 0.829, 0.171
79, 0.838, 0.162
80, 0.834, 0.166
81, 0.848, 0.152
82, 0.841, 0.159
83, 0.847, 0.153
84, 0.849, 0.151
85, 0.823, 0.177
86, 0.839, 0.161
87, 0.845, 0.155
88, 0.819, 0.181
89, 0.830, 0.170
90, 0.824, 0.176
91, 0.835, 0.165
92, 0.851, 0.149
93, 0.818, 0.182
94, 0.829, 0.171
95, 0.824, 0.176
96, 0.837, 0.163
97, 0.833, 0.167
98, 0.834, 0.166
99, 0.847, 0.153
