time, infected, susceptable
0, 0.040, 0.960
1, 0.055, 0.945
2, 0.064, 0.936
3, 0.090, 0.910
4, 0.095, 0.905
5, 0.102, 0.898
6, 0.118, 0.882
7, 0.124, 0.876
8, 0.139, 0.861
9, 0.160, 0.840
10, 0.166, 0.834
11, 0.176, 0.824
12, 0.192, 0.808
13, 0.212, 0.788
14, 0.231, 0.769
15, 0.222, 0.778
16, 0.221, 0.779
17, 0.234, 0.766
18, 0.236, 0.764
19, 0.228, 0.772
20, 0.246, 0.754
21, 0.238, 0.762
22, 0.253, 0.747
23, 0.250, 0.750
24, 0.259, 0.741
25, 0.266, 0.734
26, 0.274, 0.726
27, 0.276, 0.724
28, 0.318, 0.682
29, 0.301, 0.699
30, 0.298, 0.702
31, 0.314, 0.686
32, 0.318, 0.682
33, 0.304, 0.696
34, 0.323, 0.677
35, 0.327, 0.673
36, 0.339, 0.661
37, 0.338, 0.662
38, 0.323, 0.677
39, 0.333, 0.667
40, 0.329, 0.671
41, 0.336, 0.664
42, 0.353, 0.647
43, 0.352, 0.648
44, 0.361, 0.639
45, 0.340, 0.660
46, 0.343, 0.657
47, 0.350, 0.650
48, 0.348, 0.652
49, 0.339, 0.661
50, 0.349, 0.651
51, 0.358, 0.642
52, 0.364, 0.636
53, 0.376, 0.624
54, 0.366, 0.634
55, 0.374, 0.626
56, 0.395, 0.605
57, 0.396, 0.604
58, 0.393, 0.607
59, 0.394, 0.606
60, 0.370, 0.630
61, 0.374, 0.626
62, 0.377, 0.623
63, 0.397, 0.603
64, 0.381, 0.619
65, 0.391, 0.609
66, 0.394, 0.606
67, 0.399, 0.601
68, 0.412, 0.588
69, 0.420, 0.580
70, 0.415, 0.585
71, 0.387, 0.613
72, 0.422, 0.578
73, 0.409, 0.591
74, 0.404, 0.596
75, 0.406, 0.594
76, 0.409, 0.591
77, 0.419, 0.581
78, 0.399, 0.601
79, 0.396, 0.604
80, 0.366, 0.634
81, 0.371, 0.629
82, 0.385, 0.615
83, 0.397, 0.603
84, 0.406, 0.594
85, 0.400, 0.600
86, 0.403, 0.597
87, 0.400, 0.600
88, 0.400, 0.600
89, 0.396, 0.604
90, 0.400, 0.600
91, 0.384, 0.616
92, 0.403, 0.597
93, 0.425, 0.575
94, 0.417, 0.583
95, 0.406, 0.594
96, 0.399, 0.601
97, 0.410, 0.590
98, 0.418, 0.582
99, 0.403, 0.597
